EXCHANGE DATA,TOTAL DEPTH RATIO,DATE
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:11:40.581861
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:12:37.389086
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:13:34.183943
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:14:31.614455
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:15:28.435637
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:16:25.614030
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:17:23.079575
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:18:19.911203
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30563  22815297  23444687  1345279386
1       OKX  30566  29329533  36329681   297860422
2      GATE  30566  13120095  14607944   224076937
3    KUCOIN  30564  16807781  18260814   138090629
4  COINBASE  30566   1233166   2150307    79637157
5  BITFINEX  30575  13631791   4987847    15273484
6  BITSTAMP  30579    242107    300821      782522
7   BITTREX  30558    450105    257154      356491
8    GEMINI  30580     22280     22223       25614",0.49684038907497335,2023-07-11 19:19:17.249471
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30569  21784957  23752428  1346076642
1       OKX  30570  28029119  40841554   298472075
2      GATE  30562  14809878  13375658   224166463
3    KUCOIN  30570  20412656  21237935   138243165
4  COINBASE  30551   1248937   2300094    79729000
5  BITFINEX  30564  12168418   5448482    15266393
6  BITSTAMP  30560    259117    325060      790650
7   BITTREX  30579    470668    366258      355679
8    GEMINI  30582     22264     22234       25612",0.5104645375166066,2023-07-11 19:20:14.462363
